doi,refcodes,count,year,url,flags,name_dicts,compound_dicts
10.1038/s41467-019-11286-7,['YOKQOH'],1,2019,https://www.nature.com/articles/s41467-019-11286-7,1,{},"{'tpt': ['2,4,6-tri(4-pyridyl)-1,3,5-triazine']}"
10.1038/s41467-020-17392-1,['UQOYEH'],1,2020,https://www.nature.com/articles/s41467-020-17392-1,1,{'2': '[Ni(Hbtc)(dpb)]n'},"{'btc': ['1,3,5-benzenetricarboxylate'], 'bpy': ['4,4′-bipyridyl']}"
10.1038/ncomms14085,"['FALTUK', 'FAMPUH', 'FAMQAO', 'FAMQES']",4,2017,https://www.nature.com/articles/ncomms14085,1,{},"{'BTT3−=': ['1,3,5-benzenetristetrazolate'], 'bpy-1': ['4,4′-Bipyridine'], 'bpy-2': ['1,2-Bis(4-pyridyl)ethane']}"
10.1038/s41467-020-19220-y,['XAHBAN'],1,2020,https://www.nature.com/articles/s41467-020-19220-y,1,{},{}
10.1038/s41467-017-00152-z,['KAYCEV'],1,2017,https://www.nature.com/articles/s41467-017-00152-z,1,{},{}
10.1038/s41467-020-14986-7,"['OHOPUZ', 'OHOQAG']",2,2020,https://www.nature.com/articles/s41467-020-14986-7,1,"{'1': '[{MnII(MQ)2}{FeIII(CN)6}]Cl·3H2O', '2': '[{ZnII(MQ)2}{FeIII(CN)6}]Cl·3H2O'}",{}
10.1038/s41598-019-50258-1,"['TOTTOO', 'TOTTUU', 'TOTVAC']",3,2019,https://www.nature.com/articles/s41598-019-50258-1,1,"{'1': '[Co2(Glu)2(µ-bpa)2]·(H2O)4', '2': '[Co4(Glu)4(µ-bpp)2]', '3': '[Co2(Glu)2(µ-bpe)2]·(H2O)0.5'}","{'bpa': ['1,2-bis(4-pyridyl)ethane'], 'bpp': ['1,3-bis(4-pyridyl)propane'], 'bpy': ['4,4′-bipyridine'], 'bpe': ['1,2-bis(4-pyridyl)ethylene'], 'bpymh': ['N,N′-bis(pyridine-4-ylmethylene)hydrazine'], 'BTC': ['1,3,5-benzenetricarboxylate'], 'TDM8−': ['[(3,5-dicarboxyphenyl)-oxamethyl]methane']}"
10.1038/s41467-019-11077-0,['JOWMUG'],1,2019,https://www.nature.com/articles/s41467-019-11077-0,1,{},{}
10.1038/ncomms14070,"['RAKPAX', 'RAKPAX01']",2,2017,https://www.nature.com/articles/ncomms14070,1,{},{}
10.1038/s41467-020-17640-4,"['VABHUF', 'VABJAN', 'VABJER', 'VABJIV', 'VABJOB', 'VABJUH', 'VABKAO', 'VABKES', 'VABKIW', 'VABKOC', 'VABKUI', 'VABLAP']",12,2020,https://www.nature.com/articles/s41467-020-17640-4,1,{},{}
