doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s11224-011-9788-x,"['NEMZIQ', 'NEMZOW']",2,2011,https://link.springer.com/article/10.1007/s11224-011-9788-x,"{'1': '[Ag2(Hmpca)(mpca)(NO3)]n', '2': '(C12H10Ag2N4O4)'}",{}
10.1007/s11224-011-9809-9,['NAPVIL'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9809-9,"{'1': '[Pb(5,5′-dmbpy)(μ-NO3)2]n', '2': '[Pb(6,6′-dmbpy)(NO3)2]'}","{'1': ['[Pb(5,5′-dmbpy)(μ-NO3)2]n', '[Pb(5,5′-dmbpy)(NO3)2]n'], '2': ['[Pb(6,6′-dmbpy)(NO3)2]']}"
10.1007/s11224-011-9811-2,"['FARMAN01', 'PAQMUR']",2,2011,https://link.springer.com/article/10.1007/s11224-011-9811-2,"{'1': '[{Zn(μ-dtdp)2(H2O)2}(NO3)2·2C2H5OH·2H2O]n', '2': '[{Zn(NO3)(μ-dtdp)2(H2O)}NO3·4H2O]n'}","{'phen': ['1,10-phenanthroline']}"
10.1007/s11224-011-9852-6,['NENBUF'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9852-6,{'1': 'PhSO2CH2PO3H2'},{}
10.1007/s11224-011-9870-4,"['NENHAR', 'NENHEV', 'NENHIZ']",3,2011,https://link.springer.com/article/10.1007/s11224-011-9870-4,"{'3': '[Tb(BDC)0.5(BTEC)0.5(H2O)]', '1': '[Eu(BDC)0.5(BTEC)0.5(H2O)]', '2': '[Gd(BDC)0.5(BTEC)0.5(H2O)]'}","{'H2BDC': ['1,4-benzene-dicarboxylic'], 'H4BTEC': ['1,2,4,5-benzenetetracarboxylic']}"
10.1007/s11224-011-9886-9,"['NENJIB', 'NENJOH', 'NENJUN']",3,2011,https://link.springer.com/article/10.1007/s11224-011-9886-9,"{'1': '[Zn(3,3′-Hbpt)(ip)]·2H2O', '2': '[Zn(3,3′-Hbpt)(5-NO2-ip)]·H2O', '3': '[Zn(3,3′-Hbpt)2(H2pm)(H2O)2]·2H2O'}","{'1': ['[Zn(3,3′-Hbpt)(ip)]·2H2O'], '2': ['[Zn(3,3′-Hbpt)(5-NO2-ip)]·H2O'], '3': ['[Zn(3,3′-Hbpt)2(H2pm)(H2O)2]·2H2O'], '5-NO2-H2ip': ['5-NO2-isophthalic']}"
10.1007/s11224-011-9888-7,['NENLEZ'],1,2011,https://link.springer.com/article/10.1007/s11224-011-9888-7,"{'1': '[Na(hmta)(H2O)4]2+2·2SCN−', '2': '[K2(hmta)(SCN)2]n'}",{}
10.1007/s11224-012-9956-7,['LEPKAU'],1,2012,https://link.springer.com/article/10.1007/s11224-012-9956-7,"{'1': '[Cu2(L1)2(μ1,1-N3)2]·2CH3OH', '2': '[Cu(L2)(μ1,3-N3)]n', '3': '[Cu2(L3)(μ1,1-N3)2(N3)]2'}",{}
10.1007/s11224-012-9957-6,"['LEPKUO', 'LEPLAV', 'LEPLEZ', 'XUBJAF03']",4,2012,https://link.springer.com/article/10.1007/s11224-012-9957-6,"{'4': '[Eu2(mal)3(H2O)6]n', '1': 'C27H29Sm2NO18', '2': 'C27H29Eu2NO18', '3': '[Sm2(mal)3(H2O)6]n'}",{}
10.1007/s11224-012-9961-x,"['LEPPAZ', 'LEPPED']",2,2012,https://link.springer.com/article/10.1007/s11224-012-9961-x,{'1b': '[Li(H2O)4]+·hmta·Br−'},{}
10.1007/s11224-013-0368-0,"['POHZAP', 'POHZIX']",2,2013,https://link.springer.com/article/10.1007/s11224-013-0368-0,{'1': '[Me3Sn(O2SeC6H4-4-Et)]4'},{'1': ['[Me3Sn(O2SeC6H4-4-Et)]4']}
10.1007/s11224-015-0701-x,['NAJGIR'],1,2015,https://link.springer.com/article/10.1007/s11224-015-0701-x,"{'2': '[KL2·H2O]n', '3': 'Eu(L2)3·H2O', 'L2': 'CCl3C(O)N(H)P(O)(N(C2H4)2O)2', '4': 'Ce(L3)3(i-PrOH)2·i-PrOH', 'L3': 'CCl3C(O)N(H)P(O)(NHC6H5)2', '5': 'Nd(NO3)3(HL4)2', '6': 'Nd(NO3)3(HL5)2', '7': 'UO2(NO3)2(HL5)2', 'L5': 'HL4=CH3(C4H3N)C(O)N(H)P(O)(N(CH3)2)2–N-(bis(dimethylamino)phosphoryl)-1-methyl-1H-pyrrole-2-carboxamide'}","{'L5': ['HL4=CH3(C4H3N)C(O)N(H)P(O)(N(CH3)2)2–N-(bis(dimethylamino)phosphoryl)-1-methyl-1H-pyrrole-2-carboxamide'], 'L2': ['2,2,2-trichloro-N-(dimorpholinophosphoryl)acetamide', 'poly-[μ-aqua[2,2,2-trichloro-N-(dimorpholin-4-yl-phosphoryl)acetamide]sodium(I)]']}"
