doi,refcodes,count,year,urls,url,flags,name_dicts,compound_dicts
10.1016/j.jlumin.2018.03.025,['HOWFIL'],1,2018,https://api.elsevier.com/content/article/pii/S0022231317319853,https://www.sciencedirect.com/science/article/pii/S0022231317319853,1,"{'(1)': '{[Cd3(itp)2(btc)2]·4H2O}n', '1': '{[Cd3(itp)2(btc)2]·4H2O}n'}","{'itp': ['1-imidazol-1-yl-3-(1,2,4-triazol-4-yl)propane'], 'H3L': ['5-(benzonic-4-ylmethoxy)isophthalic']}"
10.1016/j.poly.2014.04.042,['MOHSAF'],1,2014,https://api.elsevier.com/content/article/pii/S0277538714002617,https://www.sciencedirect.com/science/article/pii/S0277538714002617,1,{'1': '[Cd(TBPC)(H2O)]n'},{}
10.1016/j.poly.2007.07.052,['SINXET'],1,2007,https://api.elsevier.com/content/article/pii/S0277538707004895,https://www.sciencedirect.com/science/article/pii/S0277538707004895,1,"{'1': '[Tb2(dl-Cys)4(H2O)8]Cl2', '2': '[Eu4(μ3-OH)4(l-Asp)2(l-HAsp)3(H2O)7]Cl·11.5H2O', '3': '[Eu8(l-HVal)16(H2O)32]Cl24·12.5H2O', '4': '[Tb2(dl-HVal)4(H2O)8]Cl6·2H2O'}",{'2': ['[Eu4(μ3-OH)4(l-Asp)2(l-HAsp)3(H2O)7]Cl·11.5H2O']}
10.1016/j.ica.2020.119736,['ZUKZEN'],1,2020,https://api.elsevier.com/content/article/pii/S0020169320307362,https://www.sciencedirect.com/science/article/pii/S0020169320307362,1,"{'(3)': '[Bu2Sn(HL)2]2', '3': '[Bu2Sn(HL)2]2', '2': 'trimethyltin(IV)'}",{}
10.1016/j.dyepig.2016.12.039,['FEHPEQ'],1,2017,https://api.elsevier.com/content/article/pii/S0143720816304934,https://www.sciencedirect.com/science/article/pii/S0143720816304934,1,{'1': '[Cd(bipy)][HL]n'},{}
10.1016/j.chemphys.2005.12.027,['REKBUF'],1,2006,https://api.elsevier.com/content/article/pii/S0301010406000103,https://www.sciencedirect.com/science/article/pii/S0301010406000103,1,{'H': '−2JS1·S2'},{}
10.1016/j.inoche.2011.09.045,['QATNIK'],1,2012,https://api.elsevier.com/content/article/pii/S1387700311004874,https://www.sciencedirect.com/science/article/pii/S1387700311004874,1,{},{}
10.1016/j.jssc.2018.10.017,"['LIKPED', 'LIKPIH', 'LIKPON', 'LIKPUT']",4,2019,https://api.elsevier.com/content/article/pii/S002245961830450X,https://www.sciencedirect.com/science/article/pii/S002245961830450X,1,"{'2': '{[Zn3(L)3(H2O)2]·Diox}n', '4': '{[Pb3(L)2·(NMP)2·(H2O)]·H2O}n', '(1)': '{[Zn4(L)2(H2O)4(OH)2]·3NMP}n', '(2)': '{[Zn3(L)3(H2O)2]·Diox}n', '(3)': '{[Cd3(L)2(H2O)5]·NMP·3H2O}n', '(4)': '{[Pb3(L)2·(NMP)2·(H2O)]·H2O}n', '1': '{[Zn4(L)2(H2O)4(OH)2]·3NMP}n', '3': '{[Cd3(L)2(H2O)5]·NMP·3H2O}n'}",{}
10.1016/j.ica.2008.05.020,['SOTLUJ'],1,2009,https://api.elsevier.com/content/article/pii/S0020169308003988,https://www.sciencedirect.com/science/article/pii/S0020169308003988,1,{'1': '{Cd2[NiL]2(SCN)4(H2O)}n'},{}
10.1016/j.ica.2005.05.004,"['PARTIM', 'PARTOS']",2,2005,https://api.elsevier.com/content/article/pii/S0020169305002331,https://www.sciencedirect.com/science/article/pii/S0020169305002331,1,"{'2': '[Cu(ip)(4,4′-bipy)]n·3nH2O', '3': '[Cu(ipH)2(4,4′-bipy)]n'}","{'2': ['[Cu(ip)(4,4′-bipy)]n·3nH2O'], '3': ['[Cu(ipH)2(4,4′-bipy)]n']}"
10.1016/j.jlumin.2016.09.057,"['UXAKAH', 'UXAQOB', 'UXAWAT', 'UXAWEX', 'UXAWIB', 'UXAWOH', 'UXAWUN', 'UXAXAU', 'UXAXEY']",9,2017,https://api.elsevier.com/content/article/pii/S0022231316309504,https://www.sciencedirect.com/science/article/pii/S0022231316309504,1,"{'1': '[La(η2-NO3)(μ-SDA)(DMF)3]n', '3': '[Sm(η2-NO3)(μ-SDA)(DMF)2·2DMF]n', '4': '[Ln(η2-NO3)(μ-SDA)(DMF)2·DMF]n', '10': '[Er2(η2-SDA)3(DMF)(H2O)3·2DMF]n'}","{'1': ['[La(η2-NO3)(μ-SDA)(DMF)3]n'], '3': ['[Sm(η2-NO3)(μ-SDA)(DMF)2·2DMF]n'], '4': ['[Ln(η2-NO3)(μ-SDA)(DMF)2·DMF]n'], '10': ['[Er2(η2-SDA)3(DMF)(H2O)3·2DMF]n']}"
10.1016/j.molstruc.2021.131851,"['JAPZAF', 'JAPZEJ']",2,2022,https://api.elsevier.com/content/article/pii/S0022286021019736,https://www.sciencedirect.com/science/article/pii/S0022286021019736,1,{},{}
10.1016/S0020-1693(02)01181-7,"['QADCUU', 'QADDAB', 'QADDEF', 'QADDIJ']",4,2002,https://api.elsevier.com/content/article/pii/S0020169302011817,https://www.sciencedirect.com/science/article/pii/S0020169302011817,1,{},{}
10.1016/j.poly.2011.02.035,"['OCORUV', 'OCOSAC', 'OCOSEG']",3,2011,https://api.elsevier.com/content/article/pii/S0277538711001306,https://www.sciencedirect.com/science/article/pii/S0277538711001306,1,{},{}
10.1016/j.cclet.2013.06.022,['VIPRAP'],1,2013,https://api.elsevier.com/content/article/pii/S1001841713003483,https://www.sciencedirect.com/science/article/pii/S1001841713003483,1,{'1': '[CdII3(HPO4)(Hbpp)(H2O)2]{CdII[P4Mo6O28H3.5(OH)3]2}·(H4tpb)·7H2O'},{}
10.1016/j.inoche.2012.10.028,['GEWPIJ'],1,2013,https://api.elsevier.com/content/article/pii/S1387700312004996,https://www.sciencedirect.com/science/article/pii/S1387700312004996,1,{},{}
10.1016/j.jinorgbio.2008.06.015,['AGIGUT'],1,2008,https://api.elsevier.com/content/article/pii/S0162013408001554,https://www.sciencedirect.com/science/article/pii/S0162013408001554,1,"{'1': '[Cu(HL2)(H2O)(NO3)](NO3)', '2': '{Cu(L1)(tfa)}2', '3': '[{Cu(L1)}2(pz)](ClO4)2', '4': '{[{Cu(L1)}2(dca)](ClO4)}n'}",{}
10.1016/S1387-7003(03)00022-4,['WACJUG'],1,2003,https://api.elsevier.com/content/article/pii/S1387700303000224,https://www.sciencedirect.com/science/article/pii/S1387700303000224,1,{},{}
10.1016/j.ica.2011.08.054,['YABREA'],1,2011,https://api.elsevier.com/content/article/pii/S0020169311006967,https://www.sciencedirect.com/science/article/pii/S0020169311006967,1,{'1': '{Na(H2O)3}[Pb5(C6H5O7)3(C6H6O7)(H2O)3]·9.5H2O'},{}
10.1016/j.inoche.2018.11.014,['KOZMIY'],1,2019,https://api.elsevier.com/content/article/pii/S138770031830892X,https://www.sciencedirect.com/science/article/pii/S138770031830892X,1,{'1': '[Cu(byia)(DMF)]·1.5DMF·7H2O'},{}
10.1016/j.ica.2016.01.041,['NALLAQ'],1,2016,https://api.elsevier.com/content/article/pii/S0020169316300159,https://www.sciencedirect.com/science/article/pii/S0020169316300159,1,"{'1': '{Na2(H2O)2Cl@CyP5Q[5]}[ZnCl4]H3O·9H2O', '2': '[ZnCl4]H3O·10H2O', '4': '[ZnCl4]·3H2O'}",{}
